OBJECTID,FIPS,NAME,COUNTY,HSR,MAP_SYMBOL,CTYREG_EST,STATE_AVG,POPOVER18,HSR_SYMBOL,DELMCC,MCONFINT
753,08101001000,"Census Tract 10, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3476,Highest Quintile,19.1,95% C.I.: 18.2 - 20.2
754,08101000904,"Census Tract 9.04, Pueblo County, Colorado",Pueblo,7,Middle Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3240,Lowest Quintile,12.3,95% C.I.: 11.6 - 13
755,08101003004,"Census Tract 30.04, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2333,Second Quintile,13.8,95% C.I.: 13.1 - 14.7
756,08101001100,"Census Tract 11, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1818,Highest Quintile,18.4,95% C.I.: 17.4 - 19.5
757,08101000902,"Census Tract 9.02, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4569,Highest Quintile,17.1,95% C.I.: 16.2 - 18.1
758,08101003200,"Census Tract 32, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2711,Second Quintile,14.1,95% C.I.: 13.4 - 14.9
759,08101000400,"Census Tract 4, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2097,Fourth Quintile,15.2,95% C.I.: 14.4 - 16
760,08101002806,"Census Tract 28.06, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2752,Second Quintile,13.6,95% C.I.: 13 - 14.3
761,08101000300,"Census Tract 3, Pueblo County, Colorado",Pueblo,7,Middle Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1998,Lowest Quintile,12.1,95% C.I.: 11.2 - 13.4
762,08101002804,"Census Tract 28.04, Pueblo County, Colorado",Pueblo,7,Second Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3506,Lowest Quintile,11.9,95% C.I.: 11.3 - 12.5
763,08101001200,"Census Tract 12, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1511,Highest Quintile,17.2,95% C.I.: 16.3 - 18.3
764,08101000600,"Census Tract 6, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1424,Highest Quintile,17.9,95% C.I.: 17 - 18.8
765,08101002807,"Census Tract 28.07, Pueblo County, Colorado",Pueblo,7,Highest Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3264,Fourth Quintile,16.3,95% C.I.: 15.5 - 17.2
766,08101002808,"Census Tract 28.08, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2257,Second Quintile,14.4,95% C.I.: 13.7 - 15.2
767,08101001500,"Census Tract 15, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1525,Middle Quintile,15,95% C.I.: 14.2 - 15.8
768,08101000100,"Census Tract 1, Pueblo County, Colorado",Pueblo,7,Fourth Quintile,County/Regional Estimate 14.8% (95% C.I.: 12.4 - 17.3),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2089,Middle Quintile,14.5,95% C.I.: 13.7 - 15.3
769,08035014006,"Census Tract 140.06, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3809,Lowest Quintile,6.2,95% C.I.: 5.9 - 6.6
770,08035013910,"Census Tract 139.10, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4237,Second Quintile,6.5,95% C.I.: 6.2 - 6.8
771,08035014140,"Census Tract 141.40, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3660,Fourth Quintile,7,95% C.I.: 6.7 - 7.3
772,08035014132,"Census Tract 141.32, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3835,Fourth Quintile,6.9,95% C.I.: 6.6 - 7.2
773,08035014130,"Census Tract 141.30, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5573,Highest Quintile,7.2,95% C.I.: 6.8 - 7.6
774,08035014124,"Census Tract 141.24, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3769,Fourth Quintile,6.7,95% C.I.: 6.4 - 7.1
775,08035014405,"Census Tract 144.05, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5292,Highest Quintile,7.3,95% C.I.: 6.9 - 7.6
776,08035014505,"Census Tract 145.05, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3553,Lowest Quintile,6.1,95% C.I.: 5.7 - 6.5
777,08035014603,"Census Tract 146.03, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4833,Second Quintile,6.4,95% C.I.: 6.1 - 6.8
778,08035014403,"Census Tract 144.03, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4137,Lowest Quintile,6,95% C.I.: 5.7 - 6.3
779,08035014404,"Census Tract 144.04, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2188,Lowest Quintile,5.7,95% C.I.: 5.4 - 6
780,08035014128,"Census Tract 141.28, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3526,Fourth Quintile,6.9,95% C.I.: 6.5 - 7.3
781,08035014129,"Census Tract 141.29, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2571,Fourth Quintile,7,95% C.I.: 6.7 - 7.4
782,08035014134,"Census Tract 141.34, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4151,Fourth Quintile,7,95% C.I.: 6.7 - 7.4
783,08035014136,"Census Tract 141.36, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5885,Highest Quintile,7.3,95% C.I.: 7 - 7.8
784,08035014138,"Census Tract 141.38, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3024,Highest Quintile,7.3,95% C.I.: 6.9 - 7.7
785,08035014139,"Census Tract 141.39, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),3063,Middle Quintile,6.6,95% C.I.: 6.2 - 7
786,08035014126,"Census Tract 141.26, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),1491,Fourth Quintile,6.9,95% C.I.: 6.5 - 7.3
787,08035014203,"Census Tract 142.03, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),5082,Middle Quintile,6.5,95% C.I.: 6.2 - 6.9
788,08035014406,"Census Tract 144.06, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),6419,Highest Quintile,7.2,95% C.I.: 6.9 - 7.6
789,08035014133,"Census Tract 141.33, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),4689,Highest Quintile,7.4,95% C.I.: 7 - 7.9
790,08035014204,"Census Tract 142.04, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2175,Middle Quintile,6.5,95% C.I.: 6.2 - 6.9
791,08035014135,"Census Tract 141.35, Douglas County, Colorado",Douglas,3,Lowest Quintile,County/Regional Estimate 6.4% (95% C.I.: 4.9 - 7.9),State Estimate 12.9% (95% C.I.: 12.4 - 13.3),2167,Second Quintile,6.5,95% C.I.: 6.2 - 6.7
