OBJECTID,FIPS,NAME,COUNTY,HSR,POPOVER18,MAP_SYMBOL,CTYREG_EST,STATE_AVG,HSR_SYMBOL,MNTLD,MCONFINT
801,08035014013,"Census Tract 140.13, Douglas County, Colorado",Douglas,3,3048,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,7.3,95% C.I.: 7 - 7.7
802,08035014012,"Census Tract 140.12, Douglas County, Colorado",Douglas,3,5601,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.3,95% C.I.: 8 - 8.8
803,08035014008,"Census Tract 140.08, Douglas County, Colorado",Douglas,3,4506,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Middle Quintile,7.9,95% C.I.: 7.6 - 8.3
804,08035014009,"Census Tract 140.09, Douglas County, Colorado",Douglas,3,2479,Middle Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9.1,95% C.I.: 8.7 - 9.5
805,08035014010,"Census Tract 140.10, Douglas County, Colorado",Douglas,3,4208,Middle Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,9.1,95% C.I.: 8.7 - 9.6
806,08035013911,"Census Tract 139.11, Douglas County, Colorado",Douglas,3,4502,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Lowest Quintile,7.4,95% C.I.: 7.1 - 7.7
807,08035014123,"Census Tract 141.23, Douglas County, Colorado",Douglas,3,2402,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.4,95% C.I.: 8 - 8.9
808,08035014504,"Census Tract 145.04, Douglas County, Colorado",Douglas,3,3413,Middle Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Highest Quintile,8.9,95% C.I.: 8.5 - 9.3
809,08035013908,"Census Tract 139.08, Douglas County, Colorado",Douglas,3,5319,Lowest Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Second Quintile,7.6,95% C.I.: 7.3 - 7.9
810,08035013907,"Census Tract 139.07, Douglas County, Colorado",Douglas,3,3586,Second Quintile,County/Regional Estimate 8.5% (95% C.I.: 6.8 - 10.2),State Estimate 9.4% (95% C.I.: 9.1 - 9.8),Fourth Quintile,8.4,95% C.I.: 8 - 8.9
